Path_source_sc,Name_new_path_sc,ID_we_want
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45218_815,AC_AC_PTs_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47035_C5_Null_PT,AC_AC_PTs_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45214_811,AC_AC_PTs_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45219_816,AC_AC_mets_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47036_C5_Null_Lungs,AC_AC_mets_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45215_812,AC_AC_mets_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45216_813,NT_AC_PTs_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45221_820,NT_AC_PTs_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47033_C4_Null_PT,NT_AC_PTs_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45217_814,NT_AC_mets_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45222_821,NT_AC_mets_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47034_C4_Null_Lungs,NT_AC_mets_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47031_C1A_II_PT,NT_NT_PTs_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47037_C1B_I_PT,NT_NT_PTs_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47029_C1A_Null_PT,NT_NT_PTs_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47032_C1A_II_Lungs,NT_NT_mets_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47038_C1B_I_Lungs,NT_NT_mets_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47030_C1A_Null_Lungs,NT_NT_mets_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48719_AC_NT_PT_1,AC_NT_PTs_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48718_AC_NT_PT_2,AC_NT_PTs_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48716_AC_NT_PT_3,AC_NT_PTs_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48720_AC_NT_lung_1,AC_NT_mets_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48721_AC_NT_lung_2,AC_NT_mets_2
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/230317_A00302_0504_AH5FC7DSX5,Sample_S48717_AC_NT_Lung_3,AC_NT_mets_3
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/220831_A00302_0445_BHCG2WDMXY,Sample_S45220_817,ref_infection_1_run_1
/hpcnfs/techunits/genomics/PublicData/Pelicci/adalmasso/FASTQ/221216_A00302_0477_AH3JKTDSX5,Sample_S47039_MDA231_Reference,ref_infection_1_run_2
